Export Start Trial Time [ms],Score,Export End Trial Time [ms],Visual Intake Count,Visual Intake Frequency [count/s],Visual Intake Duration Total [ms],Visual Intake Duration Average [ms],Visual Intake Duration Maximum [ms],Visual Intake Duration Minimum [ms],Visual Intake Dispersion Total [px],Visual Intake Dispersion Average [px],Visual Intake Dispersion Maximum [px],Visual Intake Dispersion Minimum [px],Saccade Count,Saccade Frequency [count/s],Saccade Duration Total [ms],Saccade Duration Average [ms],Saccade Duration Maximum [ms],Saccade Duration Minimum [ms],Saccade Amplitude Total [°],Saccade Amplitude Average [°],Saccade Amplitude Maximum [°],Saccade Amplitude Minimum [°],Saccade Velocity Total [°/s],Saccade Velocity Average [°/s],Saccade Velocity Maximum [°/s],Saccade Velocity Minimum [°/s],Saccade Latency Average [ms],Blink Count,Blink Frequency [count/s],Blink Duration Total [ms],Blink Duration Average [ms],Blink Duration Maximum [ms],Blink Duration Minimum [ms],Scanpath Length [px],median_split,PERCLOS
0.00,15,94361.40,111.00,1.20,59592.80,536.90,3750.70,99.40,6756.40,60.90,357.10,5.20,92.00,1.00,26188.00,284.70,15765.30,16.20,0.00,0.00,0.00,0.00,22365.90,243.10,13495.30,1.10,746.10,15.00,0.20,8264.70,551.00,4746.20,165.80,16959.00,1.00,15.39
0.00,15,526819.80,156.00,0.30,20084.10,128.70,348.90,66.20,16880.20,108.20,672.50,11.70,95.00,0.20,59076.90,621.90,7849.60,16.40,0.00,0.00,0.00,0.00,152694.30,1607.30,19703.50,20.70,4976.00,61.00,0.10,447642.50,7338.40,82528.50,414.50,91159.00,1.00,3478.19
0.00,6,11932.00,36.00,3.00,9576.40,266.00,995.70,99.30,1727.30,48.00,302.40,9.00,30.00,2.50,1609.90,53.70,248.90,16.50,201.10,6.70,42.30,0.00,3844.00,128.10,799.00,3.50,337.10,5.00,0.40,745.80,149.20,165.70,132.80,5872.00,0.00,2.80
0.00,6,441586.00,1119.00,2.50,354798.90,317.10,12098.20,82.70,48621.30,43.50,19673.30,3.40,915.00,2.10,43090.80,47.10,580.70,16.20,0.00,0.00,0.00,0.00,366489.90,400.50,129956.60,0.30,435.20,197.00,0.40,43215.20,219.40,1825.40,83.00,127925.00,0.00,136.28
0.00,6,2589.10,6.00,2.30,1826.10,304.30,713.80,116.10,291.90,48.70,127.10,13.90,3.00,1.20,215.10,71.70,116.00,49.30,36.80,12.30,26.70,5.00,445.90,148.60,233.30,105.50,481.50,2.00,0.80,548.00,274.00,365.40,182.60,1705.00,0.00,1.80
0.00,12,11235.20,27.00,2.40,8030.00,297.40,796.60,99.60,3885.50,143.90,612.70,20.10,21.00,1.90,1561.20,74.30,398.20,16.60,146.10,7.00,26.00,0.00,2261.10,107.70,278.90,14.10,429.80,6.00,0.50,1644.00,274.00,415.20,166.00,5122.00,1.00,5.53
0.00,12,444357.70,990.00,2.20,389227.50,393.20,4580.00,83.20,21337.00,21.60,479.40,4.50,899.00,2.00,32124.30,35.70,199.20,15.60,1935.30,2.20,25.40,0.00,39282.40,43.70,261.30,0.50,457.70,90.00,0.20,23005.90,255.60,2555.60,166.10,69114.00,1.00,58.51
0.00,12,1958.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,1958.20,1958.20,1958.20,1958.20,0.00,1.00,0.00
0.00,10,799034.00,1628.00,2.00,692142.90,425.10,3551.50,32.90,32378.70,19.90,1224.60,1.20,1294.00,1.60,43477.20,33.60,215.50,16.00,0.00,0.00,0.00,0.00,43146.50,33.30,1487.80,0.50,584.00,325.00,0.40,62799.90,193.20,547.70,115.70,63440.00,0.00,147.73
0.00,10,876152.60,1658.00,1.90,716097.60,431.90,3252.70,66.60,66413.80,40.10,389.00,3.60,1262.00,1.40,70977.80,56.20,2539.00,16.10,0.00,0.00,0.00,0.00,94242.60,74.70,775.00,0.70,638.10,390.00,0.40,88562.60,227.10,1128.30,132.80,180490.00,0.00,205.05
0.00,10,4481.00,10.00,2.20,3933.50,393.30,863.10,83.10,465.80,46.60,120.50,15.50,8.00,1.80,315.10,39.40,82.70,16.30,12.00,1.50,4.50,0.00,288.00,36.00,92.60,4.30,545.30,1.00,0.20,232.40,232.40,232.40,232.40,421.00,0.00,0.59
0.00,2,444141.80,923.00,2.10,384038.80,416.10,4514.10,83.00,25398.90,27.50,251.80,2.70,788.00,1.80,33401.20,42.40,265.40,16.10,0.00,0.00,0.00,0.00,42142.60,53.50,1532.00,0.40,521.30,135.00,0.30,26668.80,197.50,514.60,116.10,65920.00,0.00,64.09
0.00,15,816956.80,1556.00,1.90,595295.00,382.60,2240.40,49.80,53214.80,34.20,224.70,3.90,1138.00,1.40,45220.00,39.70,398.30,15.10,0.00,0.00,0.00,0.00,33680.40,29.60,365.70,0.40,661.90,395.00,0.50,175944.50,445.40,17242.90,182.50,33972.00,1.00,459.87
